Title,Tags,Content,,
Two Sum    ,"Array,Hashtable","Given an array of integers, return indices of the two numbers such that they add up to a specific target.

You may assume that each input would have exactly one solution, and you may not use the same element twice.

Example:

Given nums = [2, 7, 11, 15], target = 9,

Because nums[0] + nums[1] = 2 + 7 = 9,
return [0, 1].",,Dynamic Programming 
Add Two Numbers    ,"Linked list ,Math","You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order and each of their nodes contain a single digit. Add the two numbers and return it as a linked list.

You may assume the two numbers do not contain any leading zero, except the number 0 itself.

Example:

Input: (2 -> 4 -> 3) + (5 -> 6 -> 4)
Output: 7 -> 0 -> 8
Explanation: 342 + 465 = 807.",,String
Longest Substring Without Repeating Characters    ,"Hash Table,Two pointers,String","Given a string, find the length of the longest substring without repeating characters.

Example 1:

Input: ""abcabcbb""
Output: 3 
Explanation: The answer is ""abc"", with the length of 3. 
Example 2:

Input: ""bbbbb""
Output: 1
Explanation: The answer is ""b"", with the length of 1.
Example 3:

Input: ""pwwkew""
Output: 3
Explanation: The answer is ""wke"", with the length of 3. 
             Note that the answer must be a substring, ""pwke"" is a subsequence and not a substring.",,Math
Median of Two Sorted Arrays    ,"Array, Binary Search, Divide and Conquer","There are two sorted arrays nums1 and nums2 of size m and n respectively.

Find the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)).

You may assume nums1 and nums2 cannot be both empty.

Example 1:

nums1 = [1, 3]
nums2 = [2]

The median is 2.0
Example 2:

nums1 = [1, 2]
nums2 = [3, 4]

The median is (2 + 3)/2 = 2.5",,Tree
Longest Palindromic Substring    ,"String, Dynamic Programming","Given a string s, find the longest palindromic substring in s. You may assume that the maximum length of s is 1000.

Example 1:

Input: ""babad""
Output: ""bab""
Note: ""aba"" is also a valid answer.
Example 2:

Input: ""cbbd""
Output: ""bb""",,Hash Table
ZigZag Conversion    ,String,"The string ""PAYPALISHIRING"" is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility)

P   A   H   N
A P L S I I G
Y   I   R
And then read line by line: ""PAHNAPLSIIGYIR""

Write the code that will take a string and make this conversion given a number of rows:

string convert(string s, int numRows);
Example 1:

Input: s = ""PAYPALISHIRING"", numRows = 3
Output: ""PAHNAPLSIIGYIR""
Example 2:

Input: s = ""PAYPALISHIRING"", numRows = 4
Output: ""PINALSIGYAHRPI""
Explanation:

P     I    N
A   L S  I G
Y A   H R
P     I",,Depth-first Search
Reverse Integer    ,Math,"Given a 32-bit signed integer, reverse digits of an integer.

Example 1:

Input: 123
Output: 321
Example 2:

Input: -123
Output: -321
Example 3:

Input: 120
Output: 21
Note:
Assume we are dealing with an environment which could only store integers within the 32-bit signed integer range: [−231,  231 − 1]. For the purpose of this problem, assume that your function returns 0 when the reversed integer overflows.",,Binary Search
String to Integer (atoi)    ,"Math, String","Implement atoi which converts a string to an integer.

The function first discards as many whitespace characters as necessary until the first non-whitespace character is found. Then, starting from this character, takes an optional initial plus or minus sign followed by as many numerical digits as possible, and interprets them as a numerical value.

The string can contain additional characters after those that form the integral number, which are ignored and have no effect on the behavior of this function.

If the first sequence of non-whitespace characters in str is not a valid integral number, or if no such sequence exists because either str is empty or it contains only whitespace characters, no conversion is performed.

If no valid conversion could be performed, a zero value is returned.

Note:

Only the space character ' ' is considered as whitespace character.
Assume we are dealing with an environment which could only store integers within the 32-bit signed integer range: [−231,  231 − 1]. If the numerical value is out of the range of representable values, INT_MAX (231 − 1) or INT_MIN (−231) is returned.
Example 1:

Input: ""42""
Output: 42
Example 2:

Input: ""   -42""
Output: -42
Explanation: The first non-whitespace character is '-', which is the minus sign.
             Then take as many numerical digits as possible, which gets 42.
Example 3:

Input: ""4193 with words""
Output: 4193
Explanation: Conversion stops at digit '3' as the next character is not a numerical digit.
Example 4:

Input: ""words and 987""
Output: 0
Explanation: The first non-whitespace character is 'w', which is not a numerical 
             digit or a +/- sign. Therefore no valid conversion could be performed.
Example 5:

Input: ""-91283472332""
Output: -2147483648
Explanation: The number ""-91283472332"" is out of the range of a 32-bit signed integer.
             Thefore INT_MIN (−231) is returned.",,Two Pointers
Palindrome Number     ,Math,"Determine whether an integer is a palindrome. An integer is a palindrome when it reads the same backward as forward.

Example 1:

Input: 121
Output: true
Example 2:

Input: -121
Output: false
Explanation: From left to right, it reads -121. From right to left, it becomes 121-. Therefore it is not a palindrome.
Example 3:

Input: 10
Output: false
Explanation: Reads 01 from right to left. Therefore it is not a palindrome.
Follow up:

Coud you solve it without converting the integer to a string?",,Breadth-first Search
Regular Expression Matching ,"String, Dynamic Programming, Back Tracking","Given an input string (s) and a pattern (p), implement regular expression matching with support for '.' and '*'.

'.' Matches any single character.
'*' Matches zero or more of the preceding element.
The matching should cover the entire input string (not partial).

Note:

s could be empty and contains only lowercase letters a-z.
p could be empty and contains only lowercase letters a-z, and characters like . or *.
Example 1:

Input:
s = ""aa""
p = ""a""
Output: false
Explanation: ""a"" does not match the entire string ""aa"".
Example 2:

Input:
s = ""aa""
p = ""a*""
Output: true
Explanation: '*' means zero or more of the precedeng element, 'a'. Therefore, by repeating 'a' once, it becomes ""aa"".
Example 3:

Input:
s = ""ab""
p = "".*""
Output: true
Explanation: "".*"" means ""zero or more (*) of any character (.)"".
Example 4:

Input:
s = ""aab""
p = ""c*a*b""
Output: true
Explanation: c can be repeated 0 times, a can be repeated 1 time. Therefore it matches ""aab"".
Example 5:

Input:
s = ""mississippi""
p = ""mis*is*p*.""
Output: false",,Greedy
